Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
NEUQUEN,Confluencia,Plaza Huincul,13172,--,--,--,--,SI,SI,--,SI,-389290709532125.0,-692021594435231.0
NEUQUEN,Confluencia,Plottier,32390,SI,SI,--,SI,SI,SI,SI,SI,-389510561611213.0,-682478403865049.0
NEUQUEN,Confluencia,Senillosa,7542,--,--,--,SI,SI,SI,SI,SI,-390113034801537.0,-684333833911279.0
NEUQUEN,Confluencia,Villa El Chocón,707,--,--,SI,--,--,SI,SI,SI,-392610101785628.0,-687842564223565.0
NEUQUEN,Confluencia,Vista Alegre Norte,895,SI,--,--,SI,--,SI,SI,SI,-387277123127679.0,-681721438862367.0
NEUQUEN,Confluencia,Vista Alegre Sur,1513,SI,--,--,SI,SI,--,SI,--,-387715537254998.0,-681369187198489.0
MENDOZA,Luján de Cuyo,Luján de Cuyo,82615,SI,SI,SI,SI,SI,SI,SI,SI,-330328665626243.0,-688912066261393.0
MENDOZA,Luján de Cuyo,MAYOR DRUMMOND,0,--,--,--,SI,--,SI,--,SI,-330038391611615.0,-688612966964436.0
MENDOZA,Luján de Cuyo,Perdriel,8531,SI,--,SI,SI,--,SI,SI,--,-330690096392441.0,-688986010698045.0
MENDOZA,Luján de Cuyo,Piedras Blancas,0,--,--,--,--,--,--,--,--,-330198804741995.0,-693030036808918.0
MENDOZA,Luján de Cuyo,Potrerillos,292,--,--,--,SI,SI,SI,SI,SI,-32945486814506.0,-692086449063504.0
MENDOZA,Luján de Cuyo,Ugarteche,4561,--,--,--,SI,--,SI,SI,SI,-332109451573216.0,-688972088041994.0
MENDOZA,Luján de Cuyo,Valle Del Sol,0,--,--,--,--,--,--,--,--,-330174255607471.0,-692972914626044.0
MENDOZA,Luján de Cuyo,Villa El Refugio,0,--,--,--,--,--,--,--,--,-329975296309707.0,-69317680250878.0
MENDOZA,Luján de Cuyo,VISTALBA,0,--,--,--,SI,--,SI,--,SI,-330237918976098.0,-689247432402669.0
MENDOZA,Maipú,Barrancas,194,--,--,--,--,--,SI,SI,SI,-330833355400244.0,-687343792557021.0
MENDOZA,Maipú,Barrio Jesús de Nazaret,399,--,--,--,--,--,SI,--,--,-330103244179699.0,-687265920537237.0
MENDOZA,Maipú,COQUIMBITO,0,--,--,--,SI,--,--,--,SI,-329792545593489.0,-688089838444183.0
MENDOZA,Maipú,Cruz de Piedra,1536,--,--,--,SI,--,SI,SI,SI,-330293391100097.0,-687922412248266.0
MENDOZA,Maipú,El Pedregal,232,--,--,--,--,--,SI,--,--,-328558805014704.0,-686544793531012.0
NEUQUEN,Collón Curá,Piedra del Águila,3669,--,--,SI,--,SI,--,SI,SI,-400465538638606.0,-70077319578901.0
NEUQUEN,Collón Curá,Santo Tomás,219,--,--,--,--,SI,--,SI,--,-398218007278609.0,-701028884849476.0
NEUQUEN,Confluencia,11 de Octubre,236,SI,--,--,SI,--,--,SI,SI,-38878684024658.0,-681001707201744.0
NEUQUEN,Confluencia,Arroyito,90,--,--,--,--,--,SI,--,SI,-390743997961308.0,-685703350642529.0
NEUQUEN,Confluencia,Barrio Ruca Luhé,110,--,--,--,SI,--,--,SI,--,-387543907123239.0,-681803399743279.0
NEUQUEN,Confluencia,Centenario,32928,SI,SI,--,SI,SI,SI,SI,SI,-388275777081112.0,-681532191639297.0
NEUQUEN,Confluencia,Cutral Có,35465,SI,--,SI,SI,SI,SI,--,SI,-389366016135518.0,-692413390332884.0
NEUQUEN,Confluencia,El Chocón,426,--,--,--,--,SI,SI,--,--,-392589786425295.0,-688268723660918.0
NEUQUEN,Confluencia,Mari Menuco,82,--,--,--,--,--,SI,--,SI,-385383043330689.0,-68557547832041.0
NEUQUEN,Huiliches,Junín de los Andes,12621,SI,SI,SI,SI,SI,SI,SI,SI,-399494720138355.0,-710703335609136.0
JUJUY,SANTA BARBARA,El Piquete,2521,SI,--,--,--,--,SI,SI,SI,-241810241203734.0,-646790060196865.0
JUJUY,SANTA BARBARA,El Talar,2901,--,--,--,--,SI,SI,SI,--,-235558786640644.0,-643614639119972.0
JUJUY,SANTA BARBARA,Palma Sola,3791,--,--,--,--,SI,SI,SI,SI,-239791015768434.0,-643066411633623.0
JUJUY,SANTA BARBARA,Puente Lavayén,213,--,--,--,--,--,--,--,--,-2427150330488.0,-647146927538416.0
JUJUY,SANTA BARBARA,Santa Clara,4298,SI,--,--,--,SI,SI,SI,SI,-243098756490301.0,-646628728220661.0
JUJUY,SANTA BARBARA,Vinalito,757,--,--,--,--,--,SI,--,--,-236678300370713.0,-644138302334781.0
JUJUY,Santa Catalina,Casira,176,--,--,--,SI,--,--,--,--,-219693796437473.0,-65900391482913.0
JUJUY,Santa Catalina,Ciénega,278,--,--,--,SI,--,--,--,--,-221864445703198.0,-664093898308937.0
JUJUY,Santa Catalina,Cieneguillas,286,--,--,--,SI,--,--,--,--,-220998214546633.0,-658677291643016.0
JUJUY,Santa Catalina,Cusi Cusi,243,--,--,--,SI,--,--,--,--,-223402147364964.0,-664940205514016.0
JUJUY,Santa Catalina,El Angosto,25,--,--,--,--,--,--,--,--,-218172925482811.0,-6617923666654.0
JUJUY,Santa Catalina,La Ciénega,95,--,--,--,--,--,--,--,--,-219153531838048.0,-662507995315293.0
JUJUY,Santa Catalina,Misarrumi,36,--,--,--,--,SI,--,--,--,-222143443369069.0,-663365616167075.0
JUJUY,Santa Catalina,Oratorio,96,--,--,--,SI,--,--,--,--,-220656878791642.0,-660785087961458.0
JUJUY,Santa Catalina,Paicone,64,--,--,--,SI,--,--,--,--,-221956915218117.0,-664201684753681.0
JUJUY,Santa Catalina,San Juan de Oros,27,--,--,--,--,--,--,--,--,-221928248288479.0,-663492159854648.0
JUJUY,Santa Catalina,Santa Catalina,305,--,--,--,SI,SI,--,--,--,-219443720475755.0,-660525133087978.0
JUJUY,Santa Catalina,Yoscaba,34,--,--,--,--,--,--,--,--,-221645843865597.0,-659833313251161.0
JUJUY,Susques,Catua,427,--,--,--,SI,--,--,--,--,-23861850793472.0,-670041243051334.0
JUJUY,Susques,Coranzuli,333,--,--,--,SI,--,--,--,--,-230132949482406.0,-663792884216509.0
JUJUY,Susques,El Toro,121,--,--,--,SI,SI,--,--,--,-231389750587235.0,-667524458751301.0
JUJUY,Susques,Huáncar,133,--,--,--,SI,--,--,--,--,-236016053200097.0,-66413317571844.0
JUJUY,Susques,Jama,67,--,--,--,SI,--,--,--,--,-232599291955531.0,-670236887810529.0
LA PAMPA,Realicó,Embajador Martini,1336,SI,--,--,SI,SI,SI,SI,SI,-353861854808904.0,-642836857257322.0
LA PAMPA,Realicó,Falucho,177,--,--,--,--,SI,SI,SI,--,-351890814426625.0,-641038732251149.0
LA PAMPA,Realicó,Ingeniero Luiggi,4659,--,--,--,SI,SI,SI,SI,SI,-353837504384968.0,-644685685991593.0
LA PAMPA,Realicó,Ojeda,70,--,--,--,--,--,SI,--,--,-353068277686526.0,-640054725550363.0
LA PAMPA,Realicó,Realicó,7343,SI,--,SI,SI,SI,SI,SI,SI,-350368857536117.0,-642454209673953.0
LA PAMPA,Toay,Cachirulo,40,--,--,--,--,--,--,--,SI,-367473961516096.0,-643673907018325.0
LA PAMPA,Toay,Naicó,3,--,--,--,--,--,--,--,--,-369283865222889.0,-643952508587586.0
LA PAMPA,Toay,Toay,11626,SI,SI,--,SI,SI,SI,SI,SI,-366751577652887.0,-643803253806581.0
LA PAMPA,Trenel,Arata,1026,--,--,--,SI,SI,SI,SI,SI,-356381231858073.0,-643574125644643.0
LA PAMPA,Trenel,Metileo,483,--,--,--,--,SI,SI,SI,SI,-357732438729278.0,-639428308886673.0
LA PAMPA,Trenel,Trenel,3387,SI,SI,--,--,SI,SI,SI,SI,-356941743318846.0,-641358999676104.0
LA PAMPA,Utracán,Ataliva Roca,707,--,--,--,SI,SI,SI,SI,SI,-370323315728651.0,-642865724433513.0
LA PAMPA,Utracán,Chacharramendi,226,--,--,--,--,SI,SI,SI,SI,-373318147762102.0,-65650772794634.0
LA PAMPA,Utracán,Colonia Santa María,289,--,--,SI,SI,--,SI,SI,--,-374952435783299.0,-642248805481774.0
LA PAMPA,Utracán,General Acha,12184,SI,SI,--,SI,SI,SI,SI,SI,-37373672668717.0,-646038964711256.0
LA PAMPA,Utracán,Quehué,422,--,--,--,SI,SI,SI,SI,--,-371212005028742.0,-645133661628312.0
LA PAMPA,Utracán,Unanué,69,--,--,--,SI,--,SI,--,--,-375439767222425.0,-643525554864311.0
LA RIOJA,Arauco,Aimogasta,12249,SI,SI,--,SI,SI,SI,SI,SI,-285589898446523.0,-668272851017638.0
LA RIOJA,Arauco,Arauco,852,--,--,--,--,--,--,--,--,-285834031870202.0,-668036412937626.0
LA RIOJA,Arauco,Bañado de los Pantanos,534,--,--,--,--,--,--,--,--,-283871788034279.0,-668369122348367.0
LA RIOJA,Arauco,Estación Mazán,407,--,--,--,--,SI,SI,--,SI,-286648262993633.0,-665166195609666.0
LA RIOJA,Arauco,Machigasta,0,--,--,--,--,--,--,--,SI,-285410843774809.0,-668070296105313.0
LA RIOJA,Arauco,San Antonio,0,--,--,--,--,--,--,--,SI,-285553801376497.0,-668013856528183.0
LA RIOJA,Arauco,Termas de Santa Teresita,124,--,--,--,--,--,--,--,--,-28591774966521.0,-665563885931113.0
LA RIOJA,Arauco,Villa Mazán,1090,--,--,--,--,--,SI,SI,--,-286586281834455.0,-665552758852995.0
LA RIOJA,General Belgrano,Loma Blanca,731,--,--,--,--,SI,--,--,SI,-306446137810742.0,-66238741686799.0
LA RIOJA,Capital,La Rioja,178872,SI,SI,SI,SI,SI,SI,SI,SI,-294217827668094.0,-66856675379963.0
LA RIOJA,Castro Barros,Aminga,833,--,SI,--,SI,--,SI,SI,--,-288554609845772.0,-669376617661779.0
LA RIOJA,Castro Barros,Anillaco,1573,--,SI,--,SI,SI,--,SI,SI,-288155900262519.0,-669439245714904.0
LA RIOJA,Castro Barros,Anjullón,418,--,SI,--,SI,--,SI,SI,--,-287272509428901.0,-669328944677286.0
LA RIOJA,Castro Barros,Chuquis,236,--,SI,--,--,--,--,--,--,-288979801822511.0,-669765194957537.0
LA RIOJA,Castro Barros,Los Molinos,244,--,SI,--,--,--,SI,--,--,-287544152281739.0,-669389202939919.0
LA RIOJA,Castro Barros,Pinchas,390,--,SI,--,--,--,SI,--,--,-289370760269909.0,-669665171496043.0
LA RIOJA,Castro Barros,San Pedro,298,--,SI,--,--,--,SI,SI,--,-286697090457958.0,-669281338379098.0
LA RIOJA,Castro Barros,Santa Vera Cruz,123,--,--,--,--,--,SI,--,--,-28683504219205.0,-669654939868506.0
LA RIOJA,Chamical,Chamical,12919,SI,SI,--,SI,SI,SI,SI,SI,-303772951613356.0,-663240368838483.0
LA RIOJA,Chamical,Polco,80,--,--,--,--,--,--,--,--,-304293153810224.0,-663586422456665.0
LA RIOJA,Chilecito,Anguinan,0,--,--,--,--,--,--,--,--,-292060142258143.0,-674589845307511.0
LA RIOJA,Chilecito,Chilecito,33724,SI,SI,--,SI,--,SI,SI,SI,-291634978575196.0,-675074284990176.0
LA RIOJA,Chilecito,Colonia Anguinán,225,--,SI,--,SI,--,SI,SI,--,-292540980171571.0,-67426136513409.0
LA RIOJA,Chilecito,Colonia Catinzaco,33,--,--,--,--,--,--,--,--,-296731660020358.0,-673823669132229.0
LA RIOJA,Chilecito,Colonia Malligasta,482,--,--,--,--,--,--,--,--,-292029666175252.0,-674003467202303.0
LA RIOJA,Chilecito,Colonia Vichigasta,272,--,--,--,--,SI,--,--,--,-294490716382323.0,-674914198732182.0
LA RIOJA,Chilecito,Guanchín,284,--,--,--,--,--,SI,--,--,-291927256872976.0,-676392754274079.0
LA RIOJA,Chilecito,La Puntilla,0,--,--,--,--,--,--,--,--,-291484698105368.0,-674191244361359.0
LA RIOJA,Chilecito,Los Sarmientos,0,--,--,--,--,--,--,--,SI,-291517467165263.0,-674826010369502.0
LA RIOJA,Chilecito,Malligasta,1668,--,--,--,--,--,SI,SI,--,-291772024890585.0,-674408316312776.0
LA RIOJA,Chilecito,Miranda,171,--,--,--,--,--,--,--,--,-293410380679447.0,-676618699588305.0
LA RIOJA,Chilecito,Nonogasta,6937,SI,SI,--,SI,SI,SI,SI,SI,-293040959439682.0,-675072784622018.0
LA RIOJA,Chilecito,San Miguel,0,--,--,--,--,--,--,--,--,-29184674818415.0,-674780826682806.0
LA RIOJA,Chilecito,San Nicolás,153,--,--,--,--,--,SI,--,--,-291217634888802.0,-67475895961327.0
LA RIOJA,Chilecito,Santa Florentina,129,--,--,--,--,--,SI,--,--,-291330615805931.0,-675576081781931.0
LA RIOJA,Chilecito,Sañogasta,1805,--,--,--,--,--,SI,SI,SI,-293203738957214.0,-676277959527272.0
LA RIOJA,Chilecito,Tilimuqui,279,--,--,--,--,--,SI,--,--,-291494438672162.0,-674296645756575.0
LA RIOJA,Chilecito,Vichigasta,3016,SI,--,--,SI,SI,SI,SI,SI,-294885973737241.0,-6750228520978.0
LA RIOJA,Coronel Felipe Varela,Aicuña,219,--,--,--,--,--,SI,--,--,-294772470519152.0,-677729134098149.0
LA RIOJA,Coronel Felipe Varela,Guandacol,2525,SI,SI,--,SI,SI,--,SI,SI,-29509859321691.0,-685522045398452.0
LA RIOJA,Coronel Felipe Varela,Los Palacios,512,--,--,--,--,--,SI,--,SI,-293713119289112.0,-682271328398885.0
JUJUY,San Antonio,Loteo Navea,930,--,--,--,SI,--,--,--,--,-242710272820567.0,-652729444915848.0
JUJUY,San Antonio,Nuestra Señora del Rosario,40,--,--,--,--,--,--,--,--,-2431840.0,-6540092.0
JUJUY,San Antonio,San Antonio,1430,SI,SI,--,--,SI,--,SI,--,-243676606220994.0,-653337612645336.0
JUJUY,San Pedro,Arrayanal,855,--,--,--,--,--,--,--,--,-241755612615505.0,-648402658993854.0
JUJUY,San Pedro,Arroyo Colorado,378,--,--,--,--,--,--,--,--,-243403731266613.0,-646655404458929.0
JUJUY,San Pedro,Don Emilio,446,--,--,--,--,--,SI,--,--,-243154692731344.0,-649066663427545.0
JUJUY,San Pedro,El Acheral,246,--,--,--,--,--,--,--,--,-244097116704331.0,-648107312952407.0
JUJUY,San Pedro,El Puesto,1166,--,--,--,--,--,--,--,--,-241988254992426.0,-647893441637782.0
JUJUY,San Pedro,El Quemado,35,--,--,--,--,--,--,--,--,-240933961333434.0,-648238742049039.0
JUJUY,San Pedro,La Esperanza,2164,--,--,--,--,SI,SI,--,SI,-242222145482106.0,-648368070501964.0
JUJUY,San Pedro,La Manga,190,--,--,--,--,--,--,--,--,-24191697331263.0,-64846797222472.0
JUJUY,San Pedro,La Mendieta,3635,--,--,--,--,SI,SI,SI,SI,-24314359736408.0,-649707084719559.0
JUJUY,San Pedro,Miraflores,183,--,--,--,--,--,--,--,--,-242261476798422.0,-648101735526005.0
JUJUY,San Pedro,Palos Blancos,81,--,--,--,--,--,--,--,--,-243249801346233.0,-649489367519918.0
JUJUY,San Pedro,Parapetí,874,--,--,--,--,--,--,--,--,-242348579850918.0,-648440336546008.0
JUJUY,San Pedro,Piedritas,181,--,--,--,--,--,--,--,--,-242931131722113.0,-648812208450768.0
JUJUY,San Pedro,Rodeito,1879,--,--,--,--,--,--,--,SI,-242714866371948.0,-64767733920134.0
JUJUY,San Pedro,Rosario de Río Grande,591,--,--,--,--,--,SI,--,--,-243069096656554.0,-649317813354333.0
JUJUY,San Pedro,San Antonio,325,--,--,--,--,--,--,--,--,-242139625149932.0,-648057443238638.0
JUJUY,San Pedro,San Lucas,326,--,--,--,--,--,SI,--,SI,-242257554272925.0,-648646056706401.0
JUJUY,San Pedro,San Pedro (Est. San Pedro de Jujuy),59131,SI,SI,--,SI,SI,SI,SI,--,-24293007141905.0,-649524504388897.0
JUJUY,San Pedro,Sauzal,416,--,--,--,--,--,--,--,--,-242997434984526.0,-649576983944899.0
JUJUY,SANTA BARBARA,El Fuerte,512,--,--,--,--,SI,--,--,SI,-24260420872361.0,-644103511079696.0
JUJUY,Susques,Mina Providencia,30,--,--,--,SI,--,--,--,--,-232748878331652.0,-668343534268599.0
SALTA,Grl. José de San Martín,Aguaray,10410,SI,SI,--,SI,SI,SI,SI,SI,-222388143093458.0,-637283889210813.0
SALTA,Grl. José de San Martín,Campamento Vespucio,1531,SI,--,--,SI,SI,--,SI,SI,-225800471662206.0,-638523231844895.0
SALTA,Grl. José de San Martín,Campichuelo,340,--,--,--,--,--,--,--,SI,-231062412034464.0,-639953139246427.0
SALTA,Grl. José de San Martín,Campo Durán,620,--,--,--,SI,--,--,--,SI,-221925191184959.0,-636556166497527.0
SALTA,Grl. José de San Martín,Capiazuti,231,--,--,--,--,--,--,--,SI,-221673388747523.0,-637086209918975.0
SALTA,Grl. José de San Martín,Carboncito,531,--,--,--,--,--,--,--,--,-232595016179972.0,-638026685275306.0
SALTA,Grl. José de San Martín,Coronel Cornejo,2672,SI,--,--,SI,SI,--,SI,SI,-22736606161274.0,-638212340428559.0
SALTA,Grl. José de San Martín,Dragones,1779,--,--,--,SI,SI,SI,SI,SI,-232581867482105.0,-633390555232417.0
SALTA,Grl. José de San Martín,Embarcación,20843,SI,SI,--,SI,SI,--,SI,SI,-232042135269827.0,-640900817936338.0
SALTA,Grl. José de San Martín,General Ballivián,2071,--,--,--,SI,SI,--,--,SI,-229276105225425.0,-638522934424036.0
SALTA,Grl. José de San Martín,General Mosconi,15295,SI,--,--,SI,SI,SI,SI,SI,-225872984531874.0,-638075098662841.0
SALTA,Grl. José de San Martín,Hickman,805,--,--,--,--,--,--,--,SI,-232174884897188.0,-635643624737058.0
SALTA,Grl. José de San Martín,Misión Chaqueña,1302,--,--,--,--,--,--,--,SI,-232761412353834.0,-637361800240654.0
SALTA,Grl. José de San Martín,Misión El Cruce - El Milagro - El Jardín de San Martín,1329,--,--,--,--,--,--,--,SI,-225413249097327.0,-637927888759365.0
MENDOZA,Guaymallén,BERMEJO,0,--,--,--,SI,--,--,--,SI,-328674494392665.0,-688015983577909.0
MENDOZA,Guaymallén,BUENA NUEVA,0,--,--,--,SI,SI,--,--,SI,-32887610360379.0,-687797113648865.0
MENDOZA,Guaymallén,Capilla Del Rosario,0,--,--,--,SI,--,--,--,SI,-329057059086968.0,-687753107154796.0
MENDOZA,Guaymallén,COLONIA SEGOVIA,0,--,--,--,--,--,--,--,SI,-328445720739406.0,-687264015008637.0
MENDOZA,Guaymallén,Colonia Segovia,4271,--,--,--,SI,--,SI,--,SI,-328445720739406.0,-687264015008637.0
MENDOZA,Guaymallén,DORREGO,0,--,--,--,SI,--,--,--,SI,-329079284079055.0,-688402487586896.0
MENDOZA,Guaymallén,EL SAUCE,0,--,--,--,SI,--,--,--,SI,-32866493937014.0,-687583334039687.0
MENDOZA,Guaymallén,GENERAL BELGRANO,0,--,--,--,--,--,--,--,SI,-328819026438146.0,-688087568548896.0
MENDOZA,Guaymallén,Guaymallén,252618,SI,SI,SI,SI,--,SI,SI,SI,-328925289639529.0,-68820068537927.0
MENDOZA,Guaymallén,JESUS NAZARENO,0,--,--,--,SI,--,--,--,SI,-329208013873904.0,-687868066982545.0
MENDOZA,Guaymallén,KILOMETRO 11 (GUAYMALLEN),0,--,--,--,--,--,--,--,--,-329207614727554.0,-687071185835279.0
MENDOZA,Guaymallén,La Primavera,189067,--,--,--,--,--,SI,--,--,-329212115151732.0,-686797682708562.0
MENDOZA,Guaymallén,LAS CAÑAS,0,--,--,--,SI,--,--,--,SI,-329057702142765.0,-688263412149075.0
MENDOZA,Guaymallén,Los Corralitos,942,SI,--,SI,--,SI,SI,SI,SI,-328978664693342.0,-687059893326547.0
MENDOZA,Las Heras,Panquehua,0,--,--,--,SI,--,--,--,SI,-328349236425418.0,-688451652007894.0
MENDOZA,Las Heras,Papagayos,0,--,--,--,--,SI,--,--,SI,-328219.0,-688964.0
MENDOZA,Las Heras,Polvaredas,128,--,--,--,--,--,--,--,--,-328190384814445.0,-697097346552796.0
MENDOZA,Las Heras,Puente del Inca,126,--,--,--,--,SI,--,--,SI,-328198835580194.0,-699250020499226.0
MENDOZA,Las Heras,Punta de Vacas,18,--,--,--,--,--,--,--,--,-328488063589156.0,-697763007026825.0
MENDOZA,Las Heras,Sierras De Encalada,0,--,--,--,--,--,--,--,SI,-329869460291704.0,-689485091767272.0
MENDOZA,Las Heras,Uspallata,3810,SI,--,SI,SI,--,--,SI,SI,-32595534534037.0,-693582053741335.0
MENDOZA,Lavalle,3 de Mayo,516,--,--,--,--,--,SI,SI,SI,-32675527945267.0,-686462113031921.0
MENDOZA,Lavalle,Barrio Alto del Olvido,266,--,--,--,--,--,--,--,--,-326727794218396.0,-685922473767644.0
MENDOZA,Lavalle,Barrio Jocolí II,163,--,--,--,--,--,--,--,--,-326740793089036.0,-686692696211749.0
MENDOZA,Lavalle,Barrio La Esperanza,0,--,--,--,--,--,--,--,--,-326735728612892.0,-683840802981371.0
MENDOZA,Lavalle,Barrio La Palmera,136,--,--,--,--,--,--,--,--,-326969328275291.0,-685506213221534.0
MENDOZA,Lavalle,Barrio La Pega,392,--,--,--,--,--,--,SI,--,-328128590043094.0,-686835373227479.0
MENDOZA,Lavalle,Barrio Lagunas de Bartoluzzi,290,--,--,--,--,--,--,--,--,-326111088672137.0,-685714746331489.0
MENDOZA,Lavalle,Barrio Los Jarilleros,831,--,--,--,--,--,--,--,--,-327153965740662.0,-686584021819475.0
MENDOZA,Lavalle,Barrio Los Olivos,73,SI,--,--,--,--,--,SI,--,-326972155730911.0,-683295580099939.0
MENDOZA,Lavalle,Barrio Virgen del Rosario,211,--,--,--,--,--,--,--,--,-327027597161508.0,-683124921903406.0
MENDOZA,Lavalle,Costa de Araujo,2816,--,--,--,SI,--,SI,--,SI,-327568943573314.0,-684085951866641.0
MENDOZA,Lavalle,El Paramillo,90,--,--,--,--,--,--,--,--,-327813088245414.0,-685336830930131.0
MENDOZA,Lavalle,El Vergel,362,--,--,--,--,--,SI,--,--,-327623132216047.0,-686476011792189.0
MENDOZA,Lavalle,Ingeniero Gustavo André,288,--,--,--,--,--,SI,--,--,-326824002043157.0,-683268969073829.0
MENDOZA,Lavalle,Jocolí,684,--,--,--,--,--,SI,--,--,-326125410510042.0,-686790408967958.0
MENDOZA,Lavalle,Jocolí Viejo,422,--,--,--,--,--,SI,--,--,-327274623415005.0,-686602319575528.0
MENDOZA,Luján de Cuyo,Agrelo,2147,SI,--,--,SI,--,SI,SI,SI,-331173844439975.0,-688960235351828.0
MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,0,--,--,--,--,--,--,--,SI,-330649388173829.0,-688877014932113.0
MENDOZA,Luján de Cuyo,Barrio Perdriel IV,371,--,--,--,SI,--,SI,--,SI,-330753282280469.0,-689250404043338.0
MENDOZA,Luján de Cuyo,Cacheuta,636,SI,--,--,--,--,SI,SI,SI,-330367104413315.0,-691159068278817.0
MENDOZA,Luján de Cuyo,CARRODILLA,0,--,--,--,SI,--,SI,--,SI,-329776578285745.0,-688524394649607.0
MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,0,--,--,--,SI,--,SI,--,SI,-329899032062811.0,-688913679185275.0
MENDOZA,Luján de Cuyo,Costa Flores,297,--,--,--,SI,--,SI,--,SI,-330705184504059.0,-689343214868201.0
MENDOZA,Luján de Cuyo,El Carmelo,0,--,--,--,--,--,--,--,--,-329551111218674.0,-69281192394514.0
MENDOZA,Luján de Cuyo,El Carrizal,344,--,--,--,--,--,SI,--,SI,-333037433557192.0,-687554951968491.0
MENDOZA,Luján de Cuyo,El Salto,297,--,--,--,--,--,SI,SI,--,-328994781760003.0,-693336484431929.0
MENDOZA,Luján de Cuyo,La Puntilla,0,--,--,--,SI,--,SI,--,--,-329609713860174.0,-688723323876365.0
MENDOZA,Luján de Cuyo,Las Carditas,0,--,--,--,--,--,--,--,--,-329551111218674.0,-69281192394514.0
MENDOZA,Luján de Cuyo,Las Compuertas,827,SI,--,SI,--,--,SI,SI,SI,-330343953638207.0,-689757201428593.0
MENDOZA,Luján de Cuyo,Las Vegas,450,--,--,--,--,--,SI,SI,--,-330058788620171.0,-692764002200338.0
MENDOZA,Luján de Cuyo,Los Manantiales,0,--,--,--,--,--,--,--,SI,-328990128008468.0,-693340868979844.0
MENDOZA,Guaymallén,PEDRO MOLINA,0,--,--,--,SI,--,--,--,SI,-328749826070419.0,-688287743942338.0
MENDOZA,Guaymallén,Puente de Hierro,7524,SI,--,SI,--,--,SI,SI,SI,-328596996528436.0,-686889630695891.0
MENDOZA,Guaymallén,RODEO DE LA CRUZ,0,--,--,--,SI,SI,--,--,SI,-329233876380597.0,-687484037679985.0
MENDOZA,Guaymallén,SAN FRANCISCO DEL MONTE,0,--,--,--,SI,--,--,--,SI,-329176425793206.0,-688127477726945.0
MENDOZA,Guaymallén,San Jose,0,--,--,--,SI,--,--,--,SI,-32887910080091.0,-688336077167937.0
MENDOZA,Guaymallén,VILLA NUEVA,0,--,--,--,--,--,--,--,SI,-329010420892697.0,-688031458310547.0
MENDOZA,Junín,ALTO VERDE,0,--,--,--,--,--,--,--,--,-3315452764.0,-6835591009.0
MENDOZA,Junín,Ingeniero Giagnoni,594,SI,--,SI,SI,--,SI,SI,SI,-331247748459194.0,-684208925887498.0
MENDOZA,Junín,Junín,6324,SI,--,SI,SI,--,SI,SI,SI,-331450869905894.0,-684921156012444.0
MENDOZA,Junín,La Colonia,9403,--,--,--,SI,SI,SI,--,SI,-330927994762934.0,-684874957269843.0
MENDOZA,Junín,Los Barriales,4572,SI,--,SI,--,--,SI,SI,SI,-331010405156356.0,-68567527971482.0
MENDOZA,Junín,Medrano,817,--,--,--,--,--,SI,--,--,-331762912284126.0,-686231695474222.0
MENDOZA,Junín,Phillips,894,--,--,--,--,--,SI,SI,--,-332032507142375.0,-683832295478144.0
MENDOZA,Junín,Rodríguez Peña,751,--,--,--,--,--,SI,SI,SI,-331211519220358.0,-686046800215005.0
MENDOZA,La Paz,Desaguadero,424,--,--,--,--,--,--,SI,SI,-334052265769401.0,-671641664357197.0
MENDOZA,La Paz,La Paz,7872,SI,--,--,SI,--,--,SI,SI,-334610193184125.0,-675595785270435.0
MENDOZA,La Paz,Villa Antigua,311,--,--,--,--,--,--,--,--,-334645156410531.0,-676055785043576.0
MENDOZA,Las Heras,Blanco Encalada,555,--,--,--,--,--,--,SI,--,-330355485376289.0,-690065315897085.0
MENDOZA,Las Heras,Capdeville,5103,--,--,--,--,--,--,--,SI,-327248779288865.0,-689085584856171.0
MENDOZA,Las Heras,El Algarrobal,0,--,--,--,SI,--,--,--,SI,-328327487536079.0,-687957179005563.0
MENDOZA,Las Heras,El Borbollon,0,--,--,--,--,--,--,--,SI,-328069208013923.0,-687772864976942.0
MENDOZA,Las Heras,EL CHALLAO,0,--,--,--,SI,--,--,--,--,-328187507127469.0,-689164320667614.0
MENDOZA,Las Heras,EL PLUMERILLO,0,--,--,--,SI,--,--,--,SI,-328468358627701.0,-688191474531696.0
MENDOZA,Las Heras,EL RESGUARDO,0,--,--,--,SI,--,--,--,--,-327650499892594.0,-687913047281368.0
MENDOZA,Las Heras,EL ZAPALLAR,0,--,--,--,SI,--,--,--,SI,-328555537707294.0,-688280317752065.0
MENDOZA,Las Heras,Jocolí,804,--,--,--,--,--,--,SI,SI,-325843190924112.0,-686808088140348.0
MENDOZA,Las Heras,La Cieneguita,0,--,--,--,--,--,--,--,SI,-328444580470853.0,-688646206504362.0
MENDOZA,Las Heras,Las Cuevas,8,--,--,--,--,--,--,--,SI,-328079619437825.0,-700851824266087.0
MENDOZA,Las Heras,Las Heras,189067,SI,SI,SI,SI,SI,SI,SI,SI,-328499236875213.0,-688452567330483.0
